Accession ID,Longitude,Latitude,Elevation,Annual mean UVB,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
1943,-86.1843,43.5251,215,2222,7.800000191,11.08333302,29.95495415,969.9273682,27.20000076,-9.800000191,37,15.05000019,-3.466666698,19.45000076,-4.333333015,849,106,37,25.27732086,275,151,223,163
1954,-86.1739,43.5187,218,2222,7.787499905,11.09166622,30.05871582,966.4088135,27.10000038,-9.800000191,36.90000153,15,-3.433333158,19.38333321,-4.316666603,848,104,37,25.04099655,275,150,225,163
2016,-86.1788,43.5356,218,2222,7.779166698,11.10833359,29.86111259,974.6338501,27.29999924,-9.899999619,37.19999695,15.05000019,-3.533333302,19.48333359,-4.433333397,852,105,37,25.22346878,277,151,226,163
2017,-86.1788,43.5356,218,2222,7.779166698,11.10833359,29.86111259,974.6338501,27.29999924,-9.899999619,37.19999695,15.05000019,-3.533333302,19.48333359,-4.433333397,852,105,37,25.22346878,277,151,226,163
2031,-86.412,42.166,197,2374,9.408333778,9.633333206,27.13615036,958.4429321,27.60000038,-7.900000095,35.5,20.25,-1.433333397,21.04999924,-2.683333397,935,101,41,21.93093491,280,157,268,172
2053,-86.412,42.166,197,2374,9.408333778,9.633333206,27.13615036,958.4429321,27.60000038,-7.900000095,35.5,20.25,-1.433333397,21.04999924,-2.683333397,935,101,41,21.93093491,280,157,268,172
2057,-86.412,42.166,197,2374,9.408333778,9.633333206,27.13615036,958.4429321,27.60000038,-7.900000095,35.5,20.25,-1.433333397,21.04999924,-2.683333397,935,101,41,21.93093491,280,157,268,172
2081,-86.3368,43.2483,200,2321,8.266666412,9.366666794,27.30806541,927.8477783,26.20000076,-8.100000381,34.30000305,15.61666679,-2.516666651,19.45000076,-3.200000048,818,100,35,24.30099297,259,147,210,162
2091,-86.3368,43.2483,200,2321,8.266666412,9.366666794,27.30806541,927.8477783,26.20000076,-8.100000381,34.30000305,15.61666679,-2.516666651,19.45000076,-3.200000048,818,100,35,24.30099297,259,147,210,162
2106,-86.0891,43.2749,208,2258,8.233333588,10.58333302,29.07509232,968.8285522,27.20000076,-9.199999809,36.40000153,15.38333321,-2.933333397,19.86666679,-3.966666698,842,103,35,24.57160378,267,151,219,163
2108,-86.0891,43.2749,208,2258,8.233333588,10.58333302,29.07509232,968.8285522,27.20000076,-9.199999809,36.40000153,15.38333321,-2.933333397,19.86666679,-3.966666698,842,103,35,24.57160378,267,151,219,163
2141,-86.0891,43.2749,208,2258,8.233333588,10.58333302,29.07509232,968.8285522,27.20000076,-9.199999809,36.40000153,15.38333321,-2.933333397,19.86666679,-3.966666698,842,103,35,24.57160378,267,151,219,163
2159,-86.431,42.148,189,2374,9.508333206,9.633333206,27.13614845,961.0217896,27.70000076,-7.800000191,35.5,20.38333321,-1.366666675,21.18333435,-2.599999905,934,100,41,21.70871353,279,158,268,172
2166,-86.431,42.148,189,2374,9.508333206,9.633333206,27.13614845,961.0217896,27.70000076,-7.800000191,35.5,20.38333321,-1.366666675,21.18333435,-2.599999905,934,100,41,21.70871353,279,158,268,172
2171,-86.431,42.148,189,2374,9.508333206,9.633333206,27.13614845,961.0217896,27.70000076,-7.800000191,35.5,20.38333321,-1.366666675,21.18333435,-2.599999905,934,100,41,21.70871353,279,158,268,172
2191,-86.3929,43.7623,189,2226,7.741666794,10.21666718,28.37962914,956.7792358,26.60000038,-9.399999619,36,15.28333378,-3.549999952,19.21666718,-4.116666794,846,103,37,26.01890755,281,146,229,158
2202,-86.3929,43.7623,189,2226,7.741666794,10.21666718,28.37962914,956.7792358,26.60000038,-9.399999619,36,15.28333378,-3.549999952,19.21666718,-4.116666794,846,103,37,26.01890755,281,146,229,158
2212,-86.3929,43.7623,189,2226,7.741666794,10.21666718,28.37962914,956.7792358,26.60000038,-9.399999619,36,15.28333378,-3.549999952,19.21666718,-4.116666794,846,103,37,26.01890755,281,146,229,158
2239,-86.382,42.184,197,2374,9.362500191,9.658333778,27.28342819,957.6702881,27.5,-7.900000095,35.40000153,20.18333244,-1.483333349,20.98333359,-2.733333349,935,101,40,22.28746033,281,156,269,171
2240,-86.382,42.184,197,2374,9.362500191,9.658333778,27.28342819,957.6702881,27.5,-7.900000095,35.40000153,20.18333244,-1.483333349,20.98333359,-2.733333349,935,101,40,22.28746033,281,156,269,171
2276,-86.496,43.665,186,2253,7.841666698,9.900000572,27.65363121,959.1351318,26.60000038,-9.199999809,35.79999924,15.4333334,-3.416666746,19.39999962,-3.983333349,852,103,37,25.272089,278,149,228,157
2278,-86.496,43.665,186,2253,7.841666698,9.900000572,27.65363121,959.1351318,26.60000038,-9.199999809,35.79999924,15.4333334,-3.416666746,19.39999962,-3.983333349,852,103,37,25.272089,278,149,228,157
2285,-86.496,43.665,186,2253,7.841666698,9.900000572,27.65363121,959.1351318,26.60000038,-9.199999809,35.79999924,15.4333334,-3.416666746,19.39999962,-3.983333349,852,103,37,25.272089,278,149,228,157
2286,-86.496,43.665,186,2253,7.841666698,9.900000572,27.65363121,959.1351318,26.60000038,-9.199999809,35.79999924,15.4333334,-3.416666746,19.39999962,-3.983333349,852,103,37,25.272089,278,149,228,157
2317,-86.514,42.03,193,2365,9.600000381,9.616666794,26.78737259,965.6838989,27.89999962,-8,35.90000153,20.51666641,-1.299999952,21.31666565,-2.583333254,952,99,42,21.21390533,280,163,275,175
2370,-86.646,41.865,199,2367,9.462499619,9.591666222,26.64351845,963.5708618,27.60000038,-8.399999619,36,21.08333397,-1.48333323,21.08333397,-2.766666651,972,100,44,20.89734268,285,169,285,177
2412,-86.646,41.865,199,2367,9.462499619,9.591666222,26.64351845,963.5708618,27.60000038,-8.399999619,36,21.08333397,-1.48333323,21.08333397,-2.766666651,972,100,44,20.89734268,285,169,285,177
4779,-4.9,50.4,122,1667,10.34583282,5.791666508,37.12606812,370.2729797,18.89999962,3.299999952,15.59999943,7.199999809,13.46666622,15.09999943,6.283333302,1054,124,60,27.96739006,367,187,221,330
